0,1,2,3,4,5,6,7
10627135,完整投影片,完整教材錄影,相關規定,完整教材錄影,NA,NA,NA
10627135,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,完整投影片,課程相關疑難釋疑含相關規定,完整教材錄影,NA,NA,NA
10627135,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627135,完整教材錄影,NA,NA,NA,NA,NA,NA
10627136,完整教材錄影,NA,NA,NA,NA,NA,NA
10627136,討論,NA,NA,NA,NA,NA,NA
10627136,完整教材錄影,NA,NA,NA,NA,NA,NA
10627136,完整教材錄影,重點整理,完整教材錄影,NA,NA,NA,NA
10627136,完整教材錄影,測驗,完整教材錄影,課程相關疑難釋疑含相關規定,NA,NA,NA
10627136,課程相關疑難釋疑含相關規定,教材下載,NA,NA,NA,NA,NA
10627136,教材下載,完整教材錄影,完整投影片,NA,NA,NA,NA
10627136,討論,NA,NA,NA,NA,NA,NA
10627137,完整教材錄影,討論,完整教材錄影,重點整理,NA,NA,NA
10627137,重點整理,完整教材錄影,NA,NA,NA,NA,NA
10627137,完整教材錄影,NA,NA,NA,NA,NA,NA
10627137,完整教材錄影,NA,NA,NA,NA,NA,NA
10627137,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA,NA
10627137,完整教材錄影,重點整理,完整教材錄影,完整投影片,NA,NA,NA
10627137,完整投影片,相關規定,NA,NA,NA,NA,NA
10627137,相關規定,重點整理,完整教材錄影,完整投影片,NA,NA,NA
10627137,完整投影片,NA,NA,NA,NA,NA,NA
10627137,完整投影片,NA,NA,NA,NA,NA,NA
10627137,完整投影片,NA,NA,NA,NA,NA,NA
10627137,完整投影片,NA,NA,NA,NA,NA,NA
10627137,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627137,完整教材錄影,NA,NA,NA,NA,NA,NA
10627138,完整投影片,討論,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影
